Date,Session,Type,Purge_Time,Revert_Time
2021-05-11,London,Purge Low,2021-05-11 03:32:00-04:00,2021-05-11 03:33:00-04:00
2021-05-13,London,Purge Low,2021-05-13 03:40:00-04:00,2021-05-13 03:40:00-04:00
2021-05-14,London,Purge High,2021-05-14 02:46:00-04:00,2021-05-14 03:05:00-04:00
2021-05-17,London,Purge Low,2021-05-17 03:45:00-04:00,2021-05-17 03:48:00-04:00
2021-05-18,London,Purge High,2021-05-18 02:24:00-04:00,2021-05-18 02:24:00-04:00
2021-05-19,London,Purge Low,2021-05-19 02:11:00-04:00,2021-05-19 02:11:00-04:00
2021-05-20,London,Purge High,2021-05-20 03:35:00-04:00,2021-05-20 03:41:00-04:00
2021-05-24,London,Purge High,2021-05-24 03:05:00-04:00,2021-05-24 03:06:00-04:00
2021-05-31,London,Purge Low,2021-05-31 03:55:00-04:00,2021-05-31 03:55:00-04:00
2021-06-01,London,Purge High,2021-06-01 02:38:00-04:00,2021-06-01 03:11:00-04:00
2021-06-02,London,Purge Low,2021-06-02 03:30:00-04:00,2021-06-02 03:32:00-04:00
2021-06-03,London,Purge Low,2021-06-03 05:21:00-04:00,2021-06-03 05:24:00-04:00
2021-06-07,London,Purge Low,2021-06-07 02:01:00-04:00,2021-06-07 02:01:00-04:00
2021-06-09,London,Purge High,2021-06-09 03:38:00-04:00,2021-06-09 03:40:00-04:00
2021-06-11,London,Purge High,2021-06-11 06:32:00-04:00,2021-06-11 06:39:00-04:00
2021-06-14,London,Purge High,2021-06-14 03:03:00-04:00,2021-06-14 03:10:00-04:00
2021-06-18,London,Purge High,2021-06-18 02:04:00-04:00,2021-06-18 02:05:00-04:00
2021-06-21,London,Purge High,2021-06-21 02:24:00-04:00,2021-06-21 02:24:00-04:00
2021-06-23,London,Purge High,2021-06-23 02:00:00-04:00,2021-06-23 02:02:00-04:00
2021-06-25,London,Purge High,2021-06-25 05:41:00-04:00,2021-06-25 06:25:00-04:00
2021-06-28,London,Purge High,2021-06-28 03:08:00-04:00,2021-06-28 04:22:00-04:00
2021-06-29,London,Purge High,2021-06-29 03:07:00-04:00,2021-06-29 03:07:00-04:00
2021-07-01,London,Purge High,2021-07-01 03:37:00-04:00,2021-07-01 03:38:00-04:00
2021-07-01,London,Purge Low,2021-07-01 02:06:00-04:00,2021-07-01 02:07:00-04:00
2021-07-02,London,Purge High,2021-07-02 03:20:00-04:00,2021-07-02 03:21:00-04:00
2021-07-02,London,Purge Low,2021-07-02 02:00:00-04:00,2021-07-02 02:04:00-04:00
2021-07-05,London,Purge Low,2021-07-05 02:00:00-04:00,2021-07-05 05:24:00-04:00
2021-07-06,London,Purge High,2021-07-06 06:52:00-04:00,2021-07-06 06:55:00-04:00
2021-07-06,London,Purge Low,2021-07-06 03:05:00-04:00,2021-07-06 03:09:00-04:00
2021-07-07,London,Purge High,2021-07-07 03:04:00-04:00,2021-07-07 03:12:00-04:00
2021-07-08,London,Purge Low,2021-07-08 02:38:00-04:00,2021-07-08 02:38:00-04:00
2021-07-12,London,Purge High,2021-07-12 04:56:00-04:00,2021-07-12 05:02:00-04:00
2021-07-12,London,Purge Low,2021-07-12 03:51:00-04:00,2021-07-12 04:01:00-04:00
2021-07-14,London,Purge High,2021-07-14 03:40:00-04:00,2021-07-14 03:46:00-04:00
2021-07-14,London,Purge Low,2021-07-14 02:10:00-04:00,2021-07-14 02:10:00-04:00
2021-07-15,London,Purge High,2021-07-15 02:02:00-04:00,2021-07-15 02:03:00-04:00
2021-07-19,London,Purge Low,2021-07-19 04:51:00-04:00,2021-07-19 04:52:00-04:00
2021-07-21,London,Purge High,2021-07-21 04:22:00-04:00,2021-07-21 04:37:00-04:00
2021-07-22,London,Purge High,2021-07-22 02:39:00-04:00,2021-07-22 03:34:00-04:00
2021-07-23,London,Purge High,2021-07-23 04:07:00-04:00,2021-07-23 05:00:00-04:00
2021-07-26,London,Purge Low,2021-07-26 03:45:00-04:00,2021-07-26 03:45:00-04:00
2021-07-27,London,Purge Low,2021-07-27 03:08:00-04:00,2021-07-27 03:08:00-04:00
2021-07-29,London,Purge High,2021-07-29 02:11:00-04:00,2021-07-29 06:39:00-04:00
2021-08-02,London,Purge High,2021-08-02 02:04:00-04:00,2021-08-02 02:05:00-04:00
2021-08-04,London,Purge High,2021-08-04 02:00:00-04:00,2021-08-04 04:06:00-04:00
2021-08-05,London,Purge High,2021-08-05 05:26:00-04:00,2021-08-05 05:26:00-04:00
2021-08-09,London,Purge High,2021-08-09 04:16:00-04:00,2021-08-09 04:16:00-04:00
2021-08-10,London,Purge High,2021-08-10 03:13:00-04:00,2021-08-10 03:13:00-04:00
2021-08-12,London,Purge Low,2021-08-12 02:39:00-04:00,2021-08-12 02:41:00-04:00
2021-08-13,London,Purge High,2021-08-13 02:40:00-04:00,2021-08-13 02:40:00-04:00
2021-08-16,London,Purge Low,2021-08-16 02:11:00-04:00,2021-08-16 02:15:00-04:00
2021-08-17,London,Purge Low,2021-08-17 02:00:00-04:00,2021-08-17 02:00:00-04:00
2021-08-25,London,Purge High,2021-08-25 02:46:00-04:00,2021-08-25 02:47:00-04:00
2021-08-26,London,Purge Low,2021-08-26 02:42:00-04:00,2021-08-26 02:42:00-04:00
2021-08-31,London,Purge High,2021-08-31 02:00:00-04:00,2021-08-31 06:36:00-04:00
2021-09-02,London,Purge High,2021-09-02 03:27:00-04:00,2021-09-02 03:28:00-04:00
2021-09-07,London,Purge Low,2021-09-07 04:08:00-04:00,2021-09-07 04:08:00-04:00
