Window_Start,Days_Hit,Probability (%)
02:00:00,86,5.58
03:30:00,59,3.83
07:00:00,41,2.66
04:30:00,36,2.33
02:01:00,29,1.88
02:28:00,27,1.75
02:24:00,26,1.69
02:25:00,25,1.62
02:15:00,24,1.56
02:20:00,22,1.43
02:29:00,22,1.43
06:58:00,20,1.3
02:04:00,18,1.17
02:06:00,17,1.1
02:02:00,17,1.1
02:09:00,16,1.04
02:03:00,16,1.04
03:31:00,15,0.97
02:16:00,15,0.97
02:10:00,15,0.97
06:49:00,14,0.91
02:08:00,14,0.91
06:55:00,13,0.84
06:51:00,13,0.84
03:32:00,13,0.84
06:46:00,12,0.78
06:48:00,11,0.71
02:14:00,11,0.71
02:23:00,11,0.71
04:31:00,11,0.71
02:12:00,11,0.71
02:11:00,11,0.71
06:57:00,11,0.71
02:31:00,11,0.71
06:56:00,10,0.65
02:07:00,10,0.65
02:27:00,10,0.65
05:46:00,10,0.65
06:53:00,10,0.65
06:35:00,10,0.65
06:59:00,10,0.65
02:05:00,9,0.58
05:49:00,9,0.58
06:44:00,9,0.58
05:30:00,9,0.58
06:01:00,9,0.58
02:22:00,9,0.58
02:21:00,9,0.58
05:36:00,9,0.58
06:42:00,8,0.52
06:54:00,8,0.52
06:07:00,8,0.52
06:45:00,8,0.52
06:30:00,8,0.52
06:50:00,8,0.52
02:26:00,8,0.52
06:47:00,8,0.52
04:32:00,8,0.52
03:33:00,8,0.52
05:51:00,7,0.45
06:27:00,7,0.45
03:40:00,7,0.45
06:37:00,7,0.45
06:52:00,7,0.45
05:33:00,7,0.45
03:35:00,7,0.45
05:31:00,7,0.45
02:13:00,7,0.45
05:32:00,7,0.45
03:42:00,7,0.45
06:18:00,7,0.45
03:45:00,6,0.39
06:13:00,6,0.39
04:48:00,6,0.39
05:34:00,6,0.39
06:12:00,6,0.39
05:28:00,6,0.39
05:40:00,6,0.39
03:41:00,6,0.39
05:44:00,6,0.39
05:38:00,6,0.39
05:52:00,6,0.39
03:55:00,6,0.39
05:18:00,5,0.32
05:21:00,5,0.32
06:33:00,5,0.32
06:32:00,5,0.32
06:43:00,5,0.32
05:27:00,5,0.32
04:59:00,5,0.32
03:46:00,5,0.32
06:39:00,5,0.32
06:31:00,5,0.32
05:48:00,5,0.32
05:07:00,5,0.32
06:11:00,5,0.32
06:03:00,5,0.32
03:49:00,5,0.32
02:19:00,5,0.32
06:38:00,5,0.32
05:41:00,5,0.32
02:30:00,5,0.32
04:44:00,5,0.32
05:45:00,5,0.32
04:10:00,5,0.32
02:17:00,5,0.32
06:34:00,5,0.32
04:37:00,4,0.26
06:21:00,4,0.26
04:09:00,4,0.26
06:06:00,4,0.26
06:20:00,4,0.26
04:00:00,4,0.26
06:15:00,4,0.26
02:18:00,4,0.26
04:53:00,4,0.26
05:15:00,4,0.26
02:46:00,4,0.26
05:26:00,4,0.26
05:23:00,4,0.26
05:29:00,4,0.26
06:08:00,4,0.26
06:26:00,4,0.26
03:56:00,4,0.26
03:37:00,4,0.26
04:46:00,4,0.26
03:39:00,4,0.26
05:35:00,4,0.26
04:08:00,4,0.26
06:14:00,3,0.19
03:50:00,3,0.19
04:38:00,3,0.19
05:59:00,3,0.19
06:00:00,3,0.19
06:16:00,3,0.19
06:25:00,3,0.19
04:55:00,3,0.19
04:17:00,3,0.19
04:54:00,3,0.19
02:32:00,3,0.19
03:27:00,3,0.19
06:19:00,3,0.19
05:14:00,3,0.19
06:41:00,3,0.19
05:00:00,3,0.19
06:40:00,3,0.19
04:34:00,3,0.19
05:10:00,3,0.19
05:54:00,3,0.19
05:47:00,3,0.19
04:52:00,3,0.19
06:22:00,3,0.19
03:59:00,3,0.19
05:13:00,3,0.19
02:38:00,3,0.19
02:33:00,3,0.19
05:55:00,3,0.19
05:16:00,3,0.19
05:56:00,3,0.19
04:35:00,3,0.19
04:39:00,3,0.19
06:29:00,3,0.19
05:57:00,3,0.19
06:05:00,2,0.13
04:40:00,2,0.13
06:04:00,2,0.13
04:20:00,2,0.13
04:27:00,2,0.13
03:47:00,2,0.13
04:57:00,2,0.13
05:08:00,2,0.13
04:07:00,2,0.13
06:28:00,2,0.13
03:58:00,2,0.13
03:24:00,2,0.13
05:50:00,2,0.13
02:34:00,2,0.13
05:39:00,2,0.13
03:13:00,2,0.13
02:51:00,2,0.13
02:42:00,2,0.13
03:02:00,2,0.13
03:11:00,2,0.13
03:53:00,2,0.13
05:53:00,2,0.13
05:37:00,2,0.13
04:36:00,2,0.13
06:36:00,2,0.13
03:43:00,2,0.13
04:28:00,2,0.13
04:15:00,2,0.13
03:52:00,2,0.13
03:48:00,2,0.13
04:45:00,2,0.13
03:36:00,2,0.13
02:50:00,2,0.13
05:09:00,2,0.13
03:28:00,2,0.13
03:44:00,2,0.13
03:38:00,2,0.13
06:09:00,2,0.13
03:25:00,2,0.13
05:01:00,2,0.13
04:50:00,2,0.13
03:23:00,2,0.13
02:35:00,2,0.13
05:58:00,2,0.13
03:05:00,2,0.13
03:54:00,1,0.06
04:12:00,1,0.06
04:04:00,1,0.06
04:14:00,1,0.06
03:17:00,1,0.06
03:19:00,1,0.06
05:04:00,1,0.06
02:58:00,1,0.06
05:20:00,1,0.06
04:01:00,1,0.06
04:22:00,1,0.06
04:19:00,1,0.06
05:24:00,1,0.06
05:42:00,1,0.06
02:49:00,1,0.06
02:44:00,1,0.06
03:00:00,1,0.06
02:56:00,1,0.06
05:02:00,1,0.06
04:13:00,1,0.06
04:16:00,1,0.06
03:51:00,1,0.06
03:57:00,1,0.06
04:42:00,1,0.06
03:06:00,1,0.06
03:20:00,1,0.06
02:36:00,1,0.06
04:43:00,1,0.06
05:05:00,1,0.06
04:26:00,1,0.06
04:51:00,1,0.06
04:03:00,1,0.06
04:49:00,1,0.06
04:21:00,1,0.06
06:02:00,1,0.06
05:12:00,1,0.06
03:14:00,1,0.06
04:33:00,1,0.06
04:47:00,1,0.06
05:25:00,1,0.06
04:25:00,1,0.06
05:19:00,1,0.06
05:06:00,1,0.06
05:43:00,1,0.06
06:17:00,1,0.06
04:02:00,1,0.06
05:17:00,1,0.06
04:05:00,1,0.06
06:23:00,1,0.06
02:45:00,1,0.06
05:11:00,1,0.06
