Window_Start,Count,Win Rate (%)
09:30:00,99,3.7
16:10:00,82,3.07
16:00:00,64,2.39
16:15:00,63,2.36
12:30:00,58,2.17
16:05:00,56,2.09
15:50:00,54,2.02
15:30:00,54,2.02
11:30:00,50,1.87
13:00:00,46,1.72
12:35:00,46,1.72
15:15:00,44,1.65
13:50:00,44,1.65
15:35:00,43,1.61
15:45:00,42,1.57
14:50:00,42,1.57
15:25:00,41,1.53
09:35:00,41,1.53
15:40:00,41,1.53
15:20:00,41,1.53
13:35:00,41,1.53
13:30:00,39,1.46
12:40:00,39,1.46
13:45:00,39,1.46
13:40:00,39,1.46
12:50:00,38,1.42
14:35:00,36,1.35
15:00:00,36,1.35
14:20:00,36,1.35
15:55:00,35,1.31
13:20:00,34,1.27
10:35:00,33,1.23
14:00:00,33,1.23
12:15:00,33,1.23
14:05:00,32,1.2
14:30:00,32,1.2
12:55:00,32,1.2
10:30:00,31,1.16
12:45:00,30,1.12
13:55:00,30,1.12
14:45:00,29,1.08
14:40:00,29,1.08
14:25:00,29,1.08
09:40:00,29,1.08
10:40:00,28,1.05
13:15:00,28,1.05
14:10:00,28,1.05
09:55:00,28,1.05
15:10:00,27,1.01
13:05:00,27,1.01
15:05:00,27,1.01
10:00:00,26,0.97
11:50:00,26,0.97
13:10:00,25,0.93
10:20:00,25,0.93
14:15:00,25,0.93
10:05:00,24,0.9
13:25:00,24,0.9
09:45:00,23,0.86
12:25:00,23,0.86
14:55:00,22,0.82
11:45:00,22,0.82
12:00:00,22,0.82
11:25:00,22,0.82
11:05:00,21,0.79
10:55:00,21,0.79
10:50:00,21,0.79
12:05:00,20,0.75
11:35:00,20,0.75
09:50:00,19,0.71
10:15:00,18,0.67
11:20:00,18,0.67
10:25:00,18,0.67
12:10:00,18,0.67
11:00:00,16,0.6
11:10:00,16,0.6
11:40:00,16,0.6
11:55:00,14,0.52
11:15:00,14,0.52
10:10:00,13,0.49
10:45:00,12,0.45
12:20:00,12,0.45
