Window_Start,Days_Hit,Probability (%)
02:00:00,104,6.74
03:30:00,41,2.66
02:01:00,34,2.2
07:00:00,32,2.08
02:24:00,31,2.01
02:19:00,26,1.69
02:04:00,24,1.56
02:02:00,23,1.49
02:20:00,22,1.43
02:15:00,19,1.23
02:26:00,18,1.17
02:14:00,17,1.1
02:03:00,17,1.1
02:09:00,17,1.1
04:30:00,17,1.1
02:12:00,16,1.04
02:07:00,14,0.91
02:21:00,14,0.91
02:25:00,14,0.91
03:31:00,14,0.91
02:10:00,13,0.84
02:05:00,13,0.84
02:17:00,13,0.84
02:08:00,13,0.84
06:52:00,12,0.78
03:32:00,12,0.78
02:13:00,12,0.78
02:11:00,12,0.78
06:58:00,12,0.78
04:31:00,11,0.71
06:40:00,11,0.71
05:30:00,11,0.71
02:29:00,11,0.71
02:22:00,11,0.71
02:16:00,10,0.65
06:55:00,10,0.65
05:33:00,10,0.65
06:53:00,10,0.65
03:36:00,9,0.58
06:46:00,9,0.58
06:37:00,9,0.58
02:27:00,9,0.58
02:23:00,9,0.58
02:28:00,9,0.58
04:33:00,9,0.58
06:30:00,8,0.52
06:16:00,8,0.52
02:32:00,8,0.52
05:47:00,8,0.52
03:39:00,8,0.52
02:06:00,8,0.52
06:35:00,8,0.52
05:31:00,7,0.45
03:49:00,7,0.45
06:04:00,7,0.45
06:51:00,7,0.45
03:37:00,7,0.45
06:36:00,7,0.45
05:38:00,7,0.45
05:55:00,7,0.45
06:31:00,7,0.45
06:47:00,7,0.45
05:49:00,7,0.45
02:34:00,7,0.45
02:18:00,7,0.45
05:57:00,7,0.45
06:57:00,7,0.45
06:21:00,7,0.45
06:59:00,7,0.45
06:13:00,7,0.45
05:41:00,6,0.39
06:32:00,6,0.39
05:34:00,6,0.39
04:14:00,6,0.39
03:46:00,6,0.39
06:17:00,6,0.39
06:42:00,6,0.39
05:58:00,6,0.39
04:37:00,6,0.39
06:50:00,6,0.39
06:22:00,6,0.39
05:15:00,6,0.39
03:34:00,6,0.39
06:33:00,6,0.39
05:46:00,6,0.39
06:07:00,6,0.39
03:33:00,6,0.39
03:38:00,6,0.39
06:45:00,6,0.39
03:50:00,6,0.39
05:00:00,6,0.39
04:56:00,6,0.39
05:37:00,5,0.32
04:45:00,5,0.32
03:35:00,5,0.32
06:41:00,5,0.32
06:44:00,5,0.32
06:15:00,5,0.32
05:48:00,5,0.32
05:39:00,5,0.32
04:49:00,5,0.32
02:30:00,5,0.32
02:40:00,5,0.32
05:35:00,5,0.32
05:50:00,5,0.32
06:56:00,5,0.32
05:42:00,5,0.32
02:35:00,5,0.32
06:43:00,5,0.32
06:24:00,4,0.26
06:09:00,4,0.26
04:44:00,4,0.26
03:47:00,4,0.26
05:53:00,4,0.26
05:51:00,4,0.26
04:28:00,4,0.26
05:06:00,4,0.26
05:45:00,4,0.26
05:19:00,4,0.26
05:16:00,4,0.26
06:03:00,4,0.26
06:10:00,4,0.26
04:34:00,4,0.26
06:20:00,4,0.26
06:54:00,4,0.26
06:19:00,4,0.26
06:25:00,4,0.26
03:40:00,4,0.26
05:59:00,4,0.26
05:40:00,4,0.26
06:26:00,4,0.26
05:44:00,4,0.26
04:42:00,4,0.26
03:41:00,4,0.26
04:32:00,4,0.26
06:38:00,4,0.26
04:40:00,4,0.26
02:31:00,4,0.26
03:58:00,3,0.19
03:54:00,3,0.19
06:39:00,3,0.19
05:12:00,3,0.19
05:05:00,3,0.19
05:26:00,3,0.19
05:21:00,3,0.19
03:43:00,3,0.19
06:12:00,3,0.19
05:09:00,3,0.19
06:49:00,3,0.19
02:38:00,3,0.19
05:32:00,3,0.19
04:57:00,3,0.19
03:19:00,3,0.19
03:24:00,3,0.19
05:27:00,3,0.19
03:52:00,3,0.19
06:05:00,3,0.19
06:48:00,3,0.19
05:25:00,3,0.19
06:11:00,3,0.19
04:04:00,3,0.19
03:56:00,3,0.19
05:36:00,3,0.19
03:28:00,3,0.19
05:28:00,3,0.19
06:23:00,3,0.19
04:18:00,3,0.19
04:59:00,3,0.19
06:01:00,3,0.19
03:55:00,3,0.19
04:35:00,3,0.19
05:13:00,2,0.13
04:13:00,2,0.13
06:18:00,2,0.13
05:08:00,2,0.13
03:48:00,2,0.13
05:11:00,2,0.13
06:27:00,2,0.13
05:29:00,2,0.13
03:51:00,2,0.13
03:59:00,2,0.13
05:24:00,2,0.13
04:15:00,2,0.13
05:02:00,2,0.13
05:54:00,2,0.13
04:38:00,2,0.13
04:01:00,2,0.13
05:52:00,2,0.13
04:05:00,2,0.13
06:34:00,2,0.13
04:12:00,2,0.13
05:03:00,2,0.13
04:02:00,2,0.13
03:44:00,2,0.13
04:36:00,2,0.13
05:56:00,2,0.13
04:55:00,2,0.13
04:17:00,2,0.13
06:06:00,2,0.13
06:28:00,2,0.13
05:43:00,2,0.13
04:10:00,2,0.13
02:36:00,2,0.13
02:51:00,2,0.13
02:37:00,2,0.13
02:46:00,2,0.13
05:22:00,2,0.13
05:18:00,2,0.13
03:45:00,2,0.13
05:17:00,2,0.13
04:03:00,2,0.13
02:50:00,2,0.13
03:15:00,2,0.13
03:57:00,2,0.13
04:07:00,2,0.13
04:06:00,2,0.13
04:20:00,2,0.13
06:00:00,2,0.13
04:25:00,1,0.06
05:04:00,1,0.06
06:14:00,1,0.06
04:08:00,1,0.06
04:39:00,1,0.06
02:33:00,1,0.06
04:53:00,1,0.06
05:23:00,1,0.06
02:42:00,1,0.06
03:12:00,1,0.06
04:00:00,1,0.06
04:50:00,1,0.06
05:10:00,1,0.06
04:46:00,1,0.06
03:42:00,1,0.06
04:24:00,1,0.06
03:53:00,1,0.06
05:20:00,1,0.06
03:01:00,1,0.06
04:52:00,1,0.06
04:48:00,1,0.06
06:29:00,1,0.06
04:51:00,1,0.06
03:02:00,1,0.06
04:54:00,1,0.06
02:39:00,1,0.06
03:07:00,1,0.06
03:10:00,1,0.06
03:27:00,1,0.06
02:44:00,1,0.06
02:53:00,1,0.06
02:56:00,1,0.06
02:48:00,1,0.06
03:22:00,1,0.06
04:29:00,1,0.06
04:26:00,1,0.06
04:16:00,1,0.06
04:19:00,1,0.06
02:45:00,1,0.06
03:06:00,1,0.06
03:00:00,1,0.06
06:08:00,1,0.06
02:54:00,1,0.06
05:07:00,1,0.06
05:14:00,1,0.06
04:11:00,1,0.06
03:14:00,1,0.06
03:17:00,1,0.06
04:58:00,1,0.06
03:21:00,1,0.06
