Window_Start,Count,Win Rate (%)
09:30:00,129,4.82
12:30:00,61,2.28
16:10:00,60,2.24
13:45:00,55,2.06
12:45:00,52,1.94
16:00:00,51,1.91
09:40:00,50,1.87
12:35:00,50,1.87
16:05:00,49,1.83
09:35:00,48,1.8
13:30:00,48,1.8
16:15:00,47,1.76
15:50:00,46,1.72
13:35:00,44,1.65
14:00:00,43,1.61
15:30:00,42,1.57
11:30:00,41,1.53
15:55:00,39,1.46
14:30:00,39,1.46
09:45:00,39,1.46
09:50:00,39,1.46
14:10:00,38,1.42
12:50:00,38,1.42
15:10:00,37,1.38
11:35:00,36,1.35
15:45:00,35,1.31
15:35:00,34,1.27
10:30:00,34,1.27
15:05:00,33,1.23
14:45:00,33,1.23
13:55:00,33,1.23
14:20:00,32,1.2
13:10:00,31,1.16
15:20:00,31,1.16
10:55:00,31,1.16
13:50:00,31,1.16
15:00:00,31,1.16
15:40:00,30,1.12
13:00:00,30,1.12
14:15:00,30,1.12
14:05:00,30,1.12
14:25:00,30,1.12
11:25:00,30,1.12
10:40:00,30,1.12
11:40:00,29,1.08
14:40:00,29,1.08
12:55:00,29,1.08
10:00:00,29,1.08
10:05:00,29,1.08
14:55:00,29,1.08
15:25:00,29,1.08
10:35:00,28,1.05
12:40:00,28,1.05
13:40:00,28,1.05
13:15:00,28,1.05
11:05:00,26,0.97
14:50:00,26,0.97
14:35:00,26,0.97
13:05:00,25,0.93
09:55:00,24,0.9
13:25:00,24,0.9
11:45:00,24,0.9
11:00:00,24,0.9
15:15:00,24,0.9
13:20:00,24,0.9
11:15:00,22,0.82
11:20:00,20,0.75
12:20:00,20,0.75
11:50:00,19,0.71
12:05:00,19,0.71
11:55:00,19,0.71
11:10:00,18,0.67
10:50:00,17,0.64
10:20:00,17,0.64
12:00:00,17,0.64
10:45:00,17,0.64
10:25:00,16,0.6
12:15:00,16,0.6
10:15:00,15,0.56
12:10:00,14,0.52
10:10:00,13,0.49
12:25:00,13,0.49
